ArtistName,AlbumName,TrackNumber,Title,StartTime,EndTime,URL,WholeName
Harry Mack,Happy Hour Clips,1,HH Harry Mack x Beat Cleaver 1,00:00:00,00:06:21,https://www.youtube.com/watch?v=cnukKeC_phA,cnukKeC_phA
Harry Mack,Happy Hour Clips,2,HH Harry Mack x Beat Cleaver 2,00:06:21,00:11:32,https://www.youtube.com/watch?v=cnukKeC_phA,cnukKeC_phA
Harry Mack,Misc,1,Overtime - Sway's Universe,00:00:27,00:08:14,https://www.youtube.com/watch?v=73WCDV51bo0,73WCDV51bo0
